brand,model,version,release_year,archetype,gender,weight_g,stack_heel_mm,stack_forefoot_mm,drop_mm,has_plate,plate_material,foam_name,lug_depth_mm,width_options,has_medial_post,msrp_usd,energy_return_pct,breathability_1to5,durability_1to5,wet_traction,torsional_rigidity_1to5,heel_counter_1to5,runrepeat_score,image_url,source_url,data_confidence,notes,affiliate_url
Salomon,Genesis,,2024,trail,m,269,34,26,8,False,none,Energy Foam,4.5,Normal,False,150,,,,,,,,,https://runningshoedb.com/en/shoes/salomon-genesis/,medium,"Salomon Japan official / RSDB: 269 g, 8 mm drop, 34/26 mm stack, Energy Foam, Active Chassis, Matryx upper, All Terrain Contagrip, Quicklace. Public reviews cite 4.5 mm lugs and $150 US MSRP. Technical-trail daily; chassis is not a carbon plate.",
Altra,Olympus,6,2024,trail,m,345,33,33,0,False,none,compression-molded EVA,3.5,Normal,False,185,,,,,,,,,https://www.altrarunning.com/en-us/products/mens-olympus-6-al0a85nj,medium,"Altra official: 12.2 oz / 345 g, 0 mm drop, 33 mm stack both ends, plush CMEVA, Vibram Megagrip, Original FootShape toe box, GaiterTrap. Public listings give 3.5 mm lugs. Max-cushion zero-drop trail shoe. MSRP $185.",
Topo Athletic,Ultraventure,4,2024,trail,m,295,35,30,5,False,none,ZipFoam,3,Normal;Wide,False,155,,,,,,,,,https://www.topoathletic.com/mens-ultraventure-4,medium,"Topo official: 10.4 oz (M9) / 295 g, 35/30 mm stack, 5 mm drop, ZipFoam, Vibram XS Trek EVO, no rock plate, gaiter compatible. Public reviews cite ~3 mm lugs and Wide availability. Road-to-trail / moderate-trail cushioned daily. List $150–$155.",
Nike,Zegama,2,2024,trail,m,320,36,32,4,False,none,ZoomX / SR-02,4,Normal,False,180,,,,,,,,,https://runningshoedb.com/en/shoes/nike-zegama-2/,medium,"Launch coverage / RSDB: men's US 10 320 g, 36/32 mm stack, 4 mm drop, ZoomX in an SR-02 EVA carrier, Vibram Megagrip with 4 mm lugs, engineered-mesh upper. May 2024 long-distance trail shoe. US MSRP $180. No carbon plate.",
Hoka,Challenger,8,2025,trail,m,287,42,34,8,False,none,CMEVA,4,Normal;Wide,False,155,,,,,,,,,https://nz.hoka.com/products/m-challenger-8-1168716-mgrt-mgrt,medium,"HOKA official (AU/NZ PDP): 287 g, 8 mm drop. Public spec sheets: men's 42/34 mm stack, CMEVA, multi-directional 4 mm lugs, road-to-trail hybrid outsole. US MSRP $155. Neutral; Wide listed on lab/product roundups. Not a technical-mountain shoe.",
Altra,Experience Wild,2,2025,trail,m,293,32,28,4,False,none,compression-molded EVA,3.5,Normal,False,140,,,,,,,,,https://www.altrarunning.com/en-us/products/mens-experience-wild-2-al0a85rx,medium,"Altra official: 10.4 oz / 293.4 g men, 4 mm drop, stack listed 28/32 mm (forefoot/heel; 32/28 with 4 mm drop), CMEVA, MaxTrac, Standard FootShape, GaiterTrap. Public reviews measure 3.5 mm lugs. Road-to-trail / moderate trail. MSRP $140.",
Saucony,Ride,19,2026,daily_trainer,m,255,36,28,8,False,none,PWRRUN+,,Normal;Wide,False,145,,,,,,,,,https://www.saucony.com/en/ride-19/60823M.html,medium,"Saucony US: $145, reformulated PWRRUN+, engineered mesh, flex grooves, Normal and Wide. Saucony Japan / Running Shoe DB: 255 g, 8 mm drop, 36/28 mm stack, XT-900 outsole, no plate. Neutral daily trainer (current Ride; Ride 18 US PDP retired).",
Nike,Pegasus Plus,,2024,daily_trainer,m,245,34,24,10,False,none,ZoomX,,Normal,False,190,,,,,,,,,https://www.nike.com/t/pegasus-plus-mens-road-running-shoes-GhSwLd/FQ7262-002,medium,"Nike official: ~245 g (men's US 10), 10 mm drop, full-length ZoomX, Flyknit upper, no plate. Retailer/RSDB stack 34/24 mm (Nike does not publish stack on the US PDP). Lightweight Pegasus-family speed daily. US MSRP $190.",
On,Cloudmonster,2,2024,max_cushion,m,300,35,29,6,True,nylon,Helion,,Normal,False,180,,,,,,,,,https://press.on-running.com/cloudmonster-2-r2uxbz,medium,"On SS24 tech sheet (15 Feb 2024): launch 22 Feb 2024, 300 g (EU 42), 6 mm drop, dual-density Helion superfoam, nylon-blend Speedboard, $179.99. Public reviews/RSDB-aligned coverage give 35/29 mm stack. Max-cushion road daily, not a trail shoe.",
Brooks,Hyperion,3,2025,tempo,m,232,36,28,8,False,none,DNA FLASH v2,,Normal,False,140,,,,,,,,,https://runningshoedb.com/en/shoes/brooks-hyperion-3/,medium,"Brooks Hyperion Collection: $140, nitrogen-infused DNA FLASH v2, no plate. runningshoedb (Brooks Japan / Fleet Feet): 8 mm drop, 36/28 mm stack; men's sample ~232 g (8.2 oz). Lightweight tempo/daily.",
Altra,Lone Peak,9,2025,trail,m,316,25,25,0,False,none,Altra EGO,,Normal;Wide,False,145,,,,,,,,,https://www.altrarunning.com/en-us/products/mens-lone-peak-9-al0a85pg,medium,"Altra US PDP: 11.15 oz / 316 g, 0 mm drop, 25 mm stack, Altra EGO, MaxTrac, Original FootShape, StoneGuard, $145. Wide available. Neutral zero-drop trail daily.",
Topo,MTN Racer,4,2025,trail,m,295,33,28,5,False,none,ZipFoam,,Normal;Wide,False,155,,,,,,,,,https://www.topoathletic.com/mens-mtn-racer-4,medium,"Topo PDP: 10.4 oz (M9) / 295 g, 33/28 mm stack, 5 mm drop, $155, Vibram Megagrip, no rock plate, ZipFoam/proprietary midsole, Wide available. Technical-trail racer/trainer.",
Hoka,Torrent,4,2024,trail,m,278,33,28,5,False,none,EVA,5,Normal,False,130,,,,,,,,,https://runningshoedb.com/en/shoes/hoka-torrent-4/,medium,"HOKA AU PDP: 277.83 g, 5 mm drop, 5 mm lugs, Active Foot Frame. runningshoedb (HOKA Fall 2025 catalog): 33/28 mm stack, EVA midsole, no rock plate. US list $129.95.",
Altra,Torin,8,2025,daily_trainer,m,288,30,30,0,False,none,Altra EGO MAX,,Normal;Wide,False,160,,,,,,,,,https://www.altrarunning.com/en-us/products/mens-torin-8-al0a85qe,medium,"Altra US PDP: 10.15 oz / 287.7 g, 0 mm drop, 30 mm stack, Altra EGO MAX, jacquard mesh, $160, daily/walking. Wide available. Neutral zero-drop road daily.",
Topo,Phantom,4,2025,daily_trainer,m,264,35,30,5,False,none,ZipFoam,,Normal;Wide,False,150,,,,,,,,,https://www.topoathletic.com/mens-phantom-4,medium,"Topo PDP: 9.3 oz (M9) / 264 g, 35/30 mm stack, 5 mm drop, $150, ZipFoam, high-cushion daily, Wide available. Neutral; anatomic toe box.",
Salomon,Aero Glide,3,2025,max_cushion,m,245,41,33,8,False,none,optiFOAM²,,Normal,False,160,,,,,,,,,https://www.salomon.com/en-us/product/aero-glide-3-li6869,medium,"Salomon US PDP: $160, 9 oz, 8 mm drop, optiFOAM², ultra-plush daily. Salomon Japan (runningshoedb): 245 g, 41/33 mm stack. No plate. High-stack road trainer.",
